Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. ANZOATEGUI,MP. INDEPENDENCIA,PQ. MAMO,ESCUELA ESTADAL NUMERO  68,N/A,543,425,425,421,4,N/A,1,1,0,1,2,89,328
EDO. ANZOATEGUI,MP. INDEPENDENCIA,PQ. MAMO,ESCUELA MUNICIPAL MACAPAIMA,N/A,252,219,219,191,28,N/A,1,0,0,0,4,40,147
EDO. ANZOATEGUI,MP. INDEPENDENCIA,PQ. MAMO,ESCUELA BOLIVARIANA PRIMARIA CARAPA,N/A,599,437,437,428,9,N/A,1,0,0,2,3,108,315
EDO. ANZOATEGUI,MP. INDEPENDENCIA,PQ. MAMO,ESCUELA RURAL BOLIVARIANA DEL ACEITAL DE YABO,N/A,858,783,783,760,23,N/A,2,0,1,2,5,65,687
EDO. ANZOATEGUI,MP. INDEPENDENCIA,PQ. MAMO,ESCUELA MUNICIPAL JUAN PEDRO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. ANZOATEGUI,MP. INDEPENDENCIA,PQ. MAMO,ESCUELA CONCENTRADA NACIONAL NUMERO 1035  JUASJUILLAR,N/A,426,367,367,359,8,N/A,1,0,0,0,0,44,315
EDO. ANZOATEGUI,MP. INDEPENDENCIA,PQ. MAMO,ESCUELA INTEGRAL BOLIVARIANA PALITAL,N/A,1246,1003,1003,987,16,N/A,3,0,0,1,2,121,863
EDO. ANZOATEGUI,MP. INDEPENDENCIA,PQ. MAMO,ESCUELA NACIONAL BOLIVARIANA MAMO ARRIBA,N/A,1145,902,902,870,32,N/A,2,0,1,0,3,176,690
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,NUCLEO EDUCACION RURAL 321 TAMARINDO,N/A,218,171,171,160,11,N/A,1,0,0,1,2,52,105
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA BOLIVARIANA MALPICA,N/A,194,119,119,118,1,N/A,1,0,0,0,0,24,94
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA NACIONAL UNITARIA NUMERO 1,N/A,424,322,322,319,3,N/A,1,0,1,1,0,19,298
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA BASICA EZEQUIEL ZAMORA,N/A,505,386,386,377,9,N/A,1,0,0,1,2,74,300
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA NACIONAL CONCENTRADA NUMERO 58 195,N/A,450,306,306,296,10,N/A,1,0,1,0,2,61,232
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA INTEGRAL BOLIVARIANA DE EDUACACION ESPECIAL SOLEDAD,N/A,1669,1309,1309,1266,43,N/A,3,1,0,0,7,460,798
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA ESTADAL NUMERO 67,N/A,498,396,396,393,3,N/A,1,0,0,0,0,42,351
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,UNIDAD EDUCATIVA LA ALDEA,N/A,240,210,210,202,8,N/A,1,0,0,1,0,20,181
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,GRUPO ESCOLAR TOMAS MONTILLA,N/A,2403,1907,1907,1858,49,N/A,5,1,1,0,11,653,1192
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA UNITARIA NACIONAL NUMERO 416,N/A,497,331,331,324,7,N/A,1,0,0,0,2,78,244
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,GRUPO ESCOLAR DOCTOR JOSÉ MARIA RODRÍGUEZ ARMAS,N/A,1495,1187,1187,1165,22,N/A,3,0,1,0,8,453,703
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA BOLIVARIANA SANTA CRUZ DEL TIGRE,N/A,145,78,78,77,1,N/A,1,0,0,0,0,17,60
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA BOLIVARIANA LAS CURAGUAS,N/A,154,139,139,132,7,N/A,1,0,0,0,0,21,111
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,GRUPO ESCOLAR JOSE ANTONIO ANZOATEGUI,N/A,3605,2816,2816,2780,36,N/A,7,1,1,0,22,868,1888
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,GRUPO ESCOLAR FRAY NICOLAS DE ODENA,N/A,3281,2358,2358,2290,68,N/A,6,0,0,4,15,915,1356
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA BOLIVARIANA LA ENCARAMADA,N/A,171,153,153,148,5,N/A,1,0,0,0,2,46,100
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA ESTADAL SIMON RODRIGUEZ,N/A,596,503,503,484,19,N/A,1,0,0,1,3,109,371
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,ESCUELA INTEGRAL BOLIVARIANA EL LINDERO,N/A,312,238,238,226,12,N/A,1,0,0,0,0,39,187
EDO. ANZOATEGUI,MP. INDEPENDENCIA,CM. SOLEDAD,UNIDAD EDUCATIVA TEMISTOCLES MAZA,N/A,1337,1083,1083,1059,24,N/A,3,0,1,0,5,287,766
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA ESTADAL CONCENTRADA NUMERO 5 Y 2095,N/A,276,178,178,175,3,N/A,1,1,0,0,2,23,149
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA HERMANOS MONAGAS,N/A,750,653,653,644,9,N/A,2,0,0,0,1,148,495
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA BOLIVARIANA BARRIO LA CRUZ,N/A,973,865,865,843,22,N/A,2,1,0,0,5,256,581
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA CONCENTRADA CACHIMIRA,N/A,250,224,224,223,1,N/A,1,1,0,1,1,62,158
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA NACIONAL NUMERO 53 2004,N/A,430,326,326,320,6,N/A,1,0,0,0,2,70,248
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA CONCENTRADA MIXTA NUMERO 1 SIN NUMERO,N/A,408,322,322,313,9,N/A,1,0,0,1,7,123,182
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA CONCENTRADA NUMERO 2084 1852,N/A,241,170,170,165,5,N/A,1,0,0,0,3,37,125
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA ESTADAL CONCENTRADA NUMERO 130 SIN NUMERO,N/A,453,348,348,342,6,N/A,1,0,0,0,2,61,279
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA BASICA NACIONAL 2901 LA GLORIA,N/A,140,120,120,117,3,N/A,1,0,1,1,5,47,63
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA NACIONAL UNITARIA NUMERO 1859,N/A,229,155,155,153,2,N/A,1,0,0,0,0,59,94
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA NACIONAL GUACAMAYO,N/A,38,35,35,33,2,N/A,1,0,0,0,0,0,33
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA NACIONAL CONCENTRADA VENTORRILLO,N/A,152,141,141,137,4,N/A,1,0,0,0,3,33,101
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA BUENOS AIRES NUCLEO ESCOLAR RURAL 001,N/A,437,383,383,363,20,N/A,1,0,0,0,3,94,266
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA LAS PALMITAS,N/A,306,203,203,201,2,N/A,1,0,0,0,3,14,184
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA MANZANARES,N/A,238,199,199,199,0,N/A,1,0,0,1,0,41,157
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA CONCENTRADA NUMERO 1882 2152,N/A,726,581,581,567,14,N/A,2,1,0,0,2,204,360
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA BOLIVARIANA BARRIO SUCRE,N/A,586,512,512,503,9,N/A,1,0,0,0,4,138,361
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA NACIONAL CONCENTRADA LAS PIÑAS,N/A,295,257,257,249,8,N/A,1,0,0,1,0,63,185
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,UNIDAD EDUCATIVA CREACION ARAGUA,N/A,1816,1397,1397,1381,16,N/A,4,1,1,1,7,616,755
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,UNIDAD EDUCATIVA DOMINGO GUZMÁN BASTARDO,N/A,2839,2217,2217,2184,33,N/A,5,2,0,2,21,1030,1129
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,UNIDAD EDUCATIVA NARCISO FRAGACHAN,N/A,2526,2041,2041,1997,44,N/A,5,1,0,2,12,938,1044
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,UNIDAD EDUCATIVA NUESTRA SEÑORA DEL CARMEN,N/A,2668,2335,2335,2298,37,N/A,5,0,1,1,10,1372,914
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA CONCENTRADA LA FUNDACION NUMERO 20 94,N/A,173,162,162,156,6,N/A,1,0,0,0,0,21,135
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,UNIDAD EDUCATIVA  DOCTOR ALIRIO ARREAZA,N/A,2582,2038,2038,2015,23,N/A,5,2,0,3,13,1008,989
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA NACIONAL LOS CONEJOS,N/A,151,142,142,137,5,N/A,1,0,0,0,1,29,107
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,ESCUELA MANAPOCO,N/A,287,249,249,241,8,N/A,1,0,1,0,0,33,207
EDO. ANZOATEGUI,MP. ARAGUA,CM. ARAGUA DE BARCELONA,UNIDAD EDUCATIVA DOCTOR CESAR RODRIGUEZ,N/A,453,396,396,388,8,N/A,1,0,0,0,2,150,236
EDO. ANZOATEGUI,MP. ARAGUA,PQ. CACHIPO,UNIDAD EDUCATIVA CAICO SECO,N/A,464,404,404,390,14,N/A,1,1,0,0,3,64,322
EDO. ANZOATEGUI,MP. ARAGUA,PQ. CACHIPO,ESCUELA NACIONAL CONCENTRADA NUMERO 629 630 668 2168,N/A,467,345,345,338,7,N/A,1,0,1,0,1,117,219
EDO. ANZOATEGUI,MP. MC GREGOR,PQ.TOMAS ALFARO CALATRAVA,ESCUELA UNITARIA NUCLEO EDUCACION RURAL  LAS RUYAS,N/A,595,424,424,420,4,N/A,1,1,0,2,2,48,367
EDO. ANZOATEGUI,MP. MC GREGOR,PQ.TOMAS ALFARO CALATRAVA,ESCUELA CONCENTRADA NUMERO 1836 128,N/A,1113,819,819,808,11,N/A,2,0,0,1,7,133,667
EDO. ANZOATEGUI,MP. MC GREGOR,PQ. EL CHAPARRO,ESCUELA MANUALIDADES TOMAS ALFARO CALATRAVA,N/A,1214,977,977,954,23,N/A,3,0,0,0,3,284,667
EDO. ANZOATEGUI,MP. MC GREGOR,PQ. EL CHAPARRO,ESCUELA UNITARIA ESTADAL NUMERO 129,N/A,412,308,308,306,2,N/A,1,0,0,0,2,16,288
EDO. ANZOATEGUI,MP. MC GREGOR,PQ. EL CHAPARRO,ESCUELA UNITARIA NUMERO. 2687,N/A,307,237,237,232,5,N/A,1,0,0,3,3,60,166
EDO. ANZOATEGUI,MP. MC GREGOR,PQ. EL CHAPARRO,UNIDAD EDUCATIVA AUGUSTO D'AUBETERRE,N/A,3195,2440,2440,2395,45,N/A,6,1,0,1,9,799,1585
EDO. ANZOATEGUI,MP. MC GREGOR,PQ. EL CHAPARRO,ESCUELA  NACIONAL UNITARIA NUMERO 2163,N/A,320,215,215,213,2,N/A,1,0,0,0,0,64,149
EDO. ANZOATEGUI,MP. MC GREGOR,PQ. EL CHAPARRO,LICEO ALIRIO ARREAZA ARREAZA,N/A,427,357,357,346,11,N/A,1,0,0,0,1,114,231
EDO. ANZOATEGUI,MP. PE#ALVER,CM. PUERTO PIRITU,ESCUELA BÁSICA EZEQUIEL ZAMORA,N/A,3740,3174,3174,3111,63,N/A,7,1,0,3,26,1272,1809
EDO. ANZOATEGUI,MP. PE#ALVER,CM. PUERTO PIRITU,INSTITUTO UNIVERSITARIO DE ADMINISTRACIÓN INDUSTRIAL (IUTA),N/A,3365,2702,2702,2639,63,N/A,6,2,2,1,22,1495,1117
EDO. ANZOATEGUI,MP. PE#ALVER,CM. PUERTO PIRITU,ESCUELA BOLIVARIANA PACHAQUITO,N/A,1105,962,962,947,15,N/A,2,1,1,0,10,294,641
EDO. ANZOATEGUI,MP. PE#ALVER,CM. PUERTO PIRITU,UNIDAD EDUCATIVA NACIONAL CAYAURIMA,N/A,3876,3117,3117,3029,88,N/A,7,0,2,3,26,1682,1316
EDO. ANZOATEGUI,MP. PE#ALVER,CM. PUERTO PIRITU,UNIDAD EDUCATIVA NACIONAL BICENTENARIO 5 DE JULIO DE 1811,N/A,649,564,564,546,18,N/A,2,0,0,0,2,277,267
EDO. ANZOATEGUI,MP. PE#ALVER,CM. PUERTO PIRITU,INSTITUTO UNIVERSITARIO TECNOLOGICO JUAN PABLO PEREZ ALFONZO IUTEPAL,N/A,1830,1520,1520,1496,24,N/A,4,1,0,0,13,753,729
EDO. ANZOATEGUI,MP. PE#ALVER,CM. PUERTO PIRITU,INSTITUTO UNIVERSITARIO PRIVADO PUERTO PIRITU,N/A,2273,1925,1925,1888,37,N/A,4,1,0,3,13,975,896
EDO. ANZOATEGUI,MP. PE#ALVER,PQ. SUCRE,UNIDAD EDUCATIVA PIÓ CEBALLOS,N/A,1536,1220,1220,1203,17,N/A,3,0,0,0,5,545,653
EDO. ANZOATEGUI,MP. PE#ALVER,PQ. SUCRE,ESCUELA BOLIVARIANA AGUAS CALIENTE,N/A,393,311,311,304,7,N/A,1,0,0,0,3,72,229
EDO. ANZOATEGUI,MP. PE#ALVER,PQ. SUCRE,ESCUELA NACIONAL UNITARIA NUMERO 1290 NUEVO UNARE,N/A,143,125,125,116,9,N/A,1,0,0,0,0,43,73
EDO. ANZOATEGUI,MP. PE#ALVER,PQ. SAN MIGUEL,UNIDAD EDUCATIVA BOLIVARIANA  DIEGO ARREAZA MONAGAS,N/A,2589,2100,2100,2044,56,N/A,5,0,0,0,14,840,1190
EDO. ANZOATEGUI,MP. MIRANDA,CM. PARIAGUAN,ESCUELA NACIONAL NUMERO 78, LA PETERA,N/A,2325,1767,1767,1738,29,N/A,4,0,1,0,16,648,1073
EDO. ANZOATEGUI,MP. MIRANDA,CM. PARIAGUAN,ESCUELA RAMON POMPILIO OROPEZA,N/A,2181,1749,1749,1693,56,N/A,4,1,0,3,11,761,917
EDO. ANZOATEGUI,MP. MIRANDA,CM. PARIAGUAN,GRUPO ESCOLAR ROMUALDO GOMEZ,N/A,3084,2449,2449,2383,66,N/A,6,0,0,0,17,1242,1124
EDO. ANZOATEGUI,MP. MIRANDA,CM. PARIAGUAN,GRUPO ESCOLAR BOLET PERAZA,N/A,3957,3069,3069,3011,58,N/A,7,0,1,5,17,1202,1786
